$\lambda$ $(nm)$,$T$
300.0,-0.038
305.0,-0.037
310.0,-0.032
315.0,-0.039
320.0,-0.039
325.0,-0.029
330.0,-0.025
335.0,-0.027
340.0,-0.034
345.0,-0.017
350.0,-0.017
355.0,-0.002
360.0,-0.01
365.0,0.012
370.0,0.031
375.0,0.032
380.0,0.054
385.0,0.084
390.0,0.101
395.0,0.138
400.0,0.159
405.0,0.224
410.0,0.257
415.0,0.322
420.0,0.382
425.0,0.496
430.0,0.638
435.0,0.867
440.0,1.236
445.0,1.917
450.0,3.095
455.0,5.095
460.0,8.09
465.0,12.465
470.0,17.537
475.0,24.046
480.0,31.85
485.0,40.842
490.0,50.815
495.0,59.45
500.0,65.039
505.0,66.057
510.0,64.485
515.0,62.236
520.0,60.188
525.0,59.897
530.0,61.23
535.0,63.879
540.0,68.027
545.0,73.336
550.0,78.619
555.0,83.432
560.0,86.832
565.0,88.725
570.0,88.506
575.0,86.35
580.0,82.709
585.0,80.011
590.0,76.052
595.0,72.368
600.0,69.637
605.0,67.403
610.0,65.912
615.0,65.259
620.0,65.058
625.0,65.869
630.0,67.244
635.0,68.915
640.0,71.254
645.0,73.801
650.0,76.634
655.0,79.711
660.0,82.361
665.0,84.696
670.0,86.619
675.0,88.226
680.0,89.404
685.0,89.513
690.0,89.417
695.0,88.247
700.0,86.22
705.0,84.88
710.0,82.888
715.0,80.406
720.0,77.827
725.0,76.466
730.0,74.291
735.0,72.308
740.0,70.668
745.0,69.169
750.0,67.943
755.0,66.861
760.0,66.124
765.0,65.909
770.0,65.556
775.0,65.53
780.0,65.821
785.0,65.992
790.0,66.262
795.0,67.516
800.0,68.384
805.0,69.325
810.0,70.593
815.0,71.383
820.0,73.112
825.0,74.601
830.0,76.16
835.0,78.023
840.0,79.406
845.0,81.571
850.0,81.164
