"Zn/(Cd+Zn)","Band Gap (eV)","Film Thickness (nm)"
7.13E-001,3.13E+000,168.208466
7.26E-001,3.13E+000,161.539795
7.37E-001,3.12E+000,154.670013
7.46E-001,3.15E+000,147.633759
7.55E-001,3.18E+000,141.235138
7.67E-001,3.18E+000,134.937271
7.76E-001,3.19E+000,131.022903
7.84E-001,3.22E+000,127.479507
7.93E-001,3.25E+000,124.262489
7.99E-001,3.31E+000,121.174706
8.08E-001,3.33E+000,118.599815
8.14E-001,3.34E+000,116.617355
8.20E-001,3.35E+000,115.166771
8.26E-001,3.34E+000,114.078896
8.32E-001,3.35E+000,113.261314
8.37E-001,3.35E+000,112.469894
8.41E-001,3.36E+000,111.655579
6.85E-001,3.10E+000,176.977615
6.99E-001,3.09E+000,170.079239
7.11E-001,3.09E+000,162.805389
7.18E-001,3.11E+000,154.540985
7.29E-001,3.13E+000,146.667038
7.42E-001,3.15E+000,140.775986
7.52E-001,3.17E+000,137.42128
7.58E-001,3.20E+000,134.124146
7.69E-001,3.24E+000,130.979828
7.74E-001,3.28E+000,127.878136
7.84E-001,3.30E+000,125.231224
7.90E-001,3.31E+000,123.549606
7.99E-001,3.30E+000,122.431129
8.03E-001,3.30E+000,121.701355
8.09E-001,3.30E+000,121.173706
8.16E-001,3.30E+000,120.56736
8.21E-001,3.31E+000,119.910156
6.55E-001,3.07E+000,185.690079
6.66E-001,3.09E+000,178.38443
6.80E-001,3.07E+000,170.326935
6.83E-001,3.11E+000,161.872101
6.97E-001,3.11E+000,154.388901
7.08E-001,3.13E+000,148.996063
7.22E-001,3.14E+000,144.800323
7.26E-001,3.15E+000,140.925079
7.38E-001,3.17E+000,137.438568
7.44E-001,3.19E+000,133.846634
7.55E-001,3.23E+000,130.952301
7.60E-001,3.26E+000,129.935944
7.70E-001,3.27E+000,129.431915
7.75E-001,3.28E+000,129.014404
7.83E-001,3.29E+000,128.839996
7.88E-001,3.29E+000,128.67984
7.95E-001,3.30E+000,128.279083
6.18E-001,3.04E+000,193.029572
6.29E-001,3.04E+000,185.641754
6.45E-001,3.05E+000,177.841522
6.48E-001,3.06E+000,170.237579
6.64E-001,3.08E+000,163.518036
6.72E-001,3.09E+000,157.680573
6.89E-001,3.11E+000,152.36911
6.92E-001,3.13E+000,147.803696
7.04E-001,3.15E+000,144.034271
7.11E-001,3.19E+000,139.997238
7.22E-001,3.23E+000,136.964905
7.29E-001,3.25E+000,136.377396
7.39E-001,3.26E+000,136.267059
7.43E-001,3.27E+000,136.357758
7.51E-001,3.27E+000,136.483536
7.57E-001,3.28E+000,136.78183
7.66E-001,3.29E+000,136.766357
5.82E-001,3.01E+000,199.533066
5.93E-001,3.02E+000,192.428314
6.06E-001,3.02E+000,185.092987
6.09E-001,3.03E+000,178.320892
6.28E-001,3.06E+000,171.817062
6.34E-001,3.07E+000,165.651031
6.50E-001,3.08E+000,159.846466
6.54E-001,3.09E+000,155.036423
6.66E-001,3.10E+000,150.902893
6.75E-001,3.12E+000,147.159363
6.83E-001,3.15E+000,144.440216
6.93E-001,3.19E+000,143.530487
7.01E-001,3.22E+000,143.380554
7.10E-001,3.24E+000,143.730103
7.17E-001,3.25E+000,144.376999
7.24E-001,3.26E+000,145.151611
7.32E-001,3.27E+000,145.522736
5.44E-001,2.97E+000,205.113983
5.54E-001,2.98E+000,198.178131
5.66E-001,2.99E+000,191.457581
5.69E-001,3.00E+000,185.384171
5.87E-001,3.01E+000,178.718872
5.94E-001,3.03E+000,172.55658
6.09E-001,3.04E+000,166.886047
6.16E-001,3.05E+000,161.817291
6.27E-001,3.07E+000,157.787796
6.37E-001,3.09E+000,154.263519
6.45E-001,3.12E+000,151.920563
6.56E-001,3.15E+000,150.868347
6.62E-001,3.18E+000,150.705688
6.74E-001,3.20E+000,151.292526
6.80E-001,3.21E+000,152.376633
6.88E-001,3.22E+000,153.466446
6.95E-001,3.23E+000,154.418549
5.06E-001,2.95E+000,209.60318
5.15E-001,2.95E+000,203.089706
5.24E-001,2.96E+000,196.740097
5.31E-001,2.97E+000,190.820099
5.44E-001,2.99E+000,184.358276
5.56E-001,3.00E+000,178.418869
5.68E-001,3.01E+000,172.988464
5.75E-001,3.02E+000,168.144531
5.89E-001,3.03E+000,164.110321
5.96E-001,3.05E+000,160.848816
6.08E-001,3.07E+000,158.870132
6.15E-001,3.09E+000,157.938614
6.25E-001,3.11E+000,157.891541
6.34E-001,3.13E+000,158.702179
6.43E-001,3.15E+000,160.357758
6.50E-001,3.17E+000,162.032196
6.56E-001,3.18E+000,163.591095
4.73E-001,2.91E+000,212.735687
4.77E-001,2.91E+000,207.292206
4.86E-001,2.92E+000,200.796661
4.94E-001,2.93E+000,195.01889
5.09E-001,2.94E+000,189.013275
5.15E-001,2.94E+000,183.364044
5.32E-001,2.94E+000,178.258743
5.32E-001,2.96E+000,173.5439
5.47E-001,2.97E+000,169.777618
5.51E-001,2.98E+000,166.946793
5.65E-001,3.00E+000,165.354034
5.70E-001,3.02E+000,164.667694
5.83E-001,3.03E+000,164.919586
5.91E-001,3.04E+000,166.068329
6.01E-001,3.05E+000,168.348831
6.08E-001,3.07E+000,170.929916
6.19E-001,3.08E+000,172.6978
4.36E-001,2.87E+000,214.349075
4.38E-001,2.88E+000,210.122894
4.55E-001,2.89E+000,204.039246
4.53E-001,2.89E+000,198.294357
4.69E-001,2.90E+000,192.457809
4.70E-001,2.90E+000,187.141144
4.90E-001,2.91E+000,182.29187
4.86E-001,2.92E+000,178.000183
5.02E-001,2.94E+000,179.37973
5.05E-001,2.96E+000,172.332581
5.21E-001,2.96E+000,171.316788
5.23E-001,2.97E+000,171.353561
5.40E-001,2.98E+000,172.152954
5.43E-001,3.00E+000,173.799438
5.57E-001,3.01E+000,176.484177
5.62E-001,3.03E+000,179.343826
5.78E-001,3.04E+000,181.742645
4.01E-001,2.84E+000,216.205811
3.98E-001,2.85E+000,212.087799
4.14E-001,2.85E+000,206.342987
4.14E-001,2.86E+000,200.597626
4.28E-001,2.86E+000,194.967819
4.26E-001,2.87E+000,189.779022
4.47E-001,2.88E+000,185.239532
4.41E-001,2.89E+000,181.469162
4.57E-001,2.90E+000,179.958893
4.58E-001,2.91E+000,177.089569
4.76E-001,2.93E+000,176.705414
4.77E-001,2.94E+000,177.370636
4.95E-001,2.95E+000,178.718719
4.99E-001,2.96E+000,181.099991
5.13E-001,2.97E+000,184.202301
5.18E-001,2.99E+000,187.788391
