"x (cm)","y (cm)","thickness (nm)"
-4.000000,4.000000,111.370872
-3.500000,4.000000,107.106850
-3.000000,4.000000,102.673141
-2.500000,4.000000,98.429855
-2.000000,4.000000,94.414429
-1.500000,4.000000,90.535324
-1.000000,4.000000,87.105621
-0.500000,4.000000,83.856705
0.000000,4.000000,80.648041
0.500000,4.000000,77.665291
1.000000,4.000000,75.130661
1.500000,4.000000,72.419182
2.000000,4.000000,71.172081
2.500000,4.000000,68.838341
3.000000,4.000000,66.779961
3.500000,4.000000,65.303131
4.000000,4.000000,63.675659
4.000000,3.500000,64.234283
3.500000,3.500000,65.421249
3.000000,3.500000,67.266846
2.500000,3.500000,69.317177
2.000000,3.500000,71.826653
1.500000,3.500000,74.384903
1.000000,3.500000,77.244247
0.500000,3.500000,80.257416
0.000000,3.500000,83.595779
-0.500000,3.500000,87.277451
-1.000000,3.500000,91.242393
-1.500000,3.500000,95.269913
-2.000000,3.500000,99.794357
-2.500000,3.500000,104.591408
-3.000000,3.500000,109.514145
-3.500000,3.500000,114.492714
-4.000000,3.500000,119.490784
-4.000000,3.000000,127.832253
-3.500000,3.000000,126.091087
-3.000000,3.000000,116.884315
-2.500000,3.000000,111.193100
-2.000000,3.000000,105.514809
-1.500000,3.000000,100.463913
-1.000000,3.000000,95.648361
-0.500000,3.000000,91.103920
0.000000,3.000000,86.979103
0.500000,3.000000,82.816017
1.000000,3.000000,79.803650
1.500000,3.000000,76.485176
2.000000,3.000000,73.577438
2.500000,3.000000,71.936172
3.000000,3.000000,69.224968
3.500000,3.000000,67.296898
4.000000,3.000000,65.142899
4.000000,2.500000,65.897568
3.500000,2.500000,67.315170
3.000000,2.500000,69.651108
2.500000,2.500000,72.945908
2.000000,2.500000,75.471939
1.500000,2.500000,78.633461
1.000000,2.500000,82.413208
0.500000,2.500000,86.179245
0.000000,2.500000,90.417252
-0.500000,2.500000,95.166451
-1.000000,2.500000,100.298988
-1.500000,2.500000,105.789810
-2.000000,2.500000,111.893959
-2.500000,2.500000,118.177956
-3.000000,2.500000,124.403214
-3.500000,2.500000,131.530304
-4.000000,2.500000,138.118805
-4.000000,2.000000,148.114090
-3.500000,2.000000,140.524277
-3.000000,2.000000,133.101837
-2.500000,2.000000,126.535019
-2.000000,2.000000,118.465652
-1.500000,2.000000,111.574364
-1.000000,2.000000,105.258812
-0.500000,2.000000,99.621628
0.000000,2.000000,94.214615
0.500000,2.000000,89.330650
1.000000,2.000000,85.064590
1.500000,2.000000,81.119858
2.000000,2.000000,77.417625
2.500000,2.000000,74.496529
3.000000,2.000000,71.749817
3.500000,2.000000,69.483780
4.000000,2.000000,68.178940
4.000000,1.500000,68.792114
3.500000,1.500000,70.139664
3.000000,1.500000,72.954117
2.500000,1.500000,75.847023
2.000000,1.500000,79.475037
1.500000,1.500000,83.471939
1.000000,1.500000,87.777145
0.500000,1.500000,92.635452
0.000000,1.500000,98.039322
-0.500000,1.500000,104.040344
-1.000000,1.500000,110.549866
-1.500000,1.500000,117.650230
-2.000000,1.500000,124.769371
-2.500000,1.500000,133.582184
-3.000000,1.500000,141.754761
-3.500000,1.500000,149.947540
-4.000000,1.500000,158.179306
-4.000000,1.000000,168.676163
-3.500000,1.000000,159.540802
-3.000000,1.000000,150.478714
-2.500000,1.000000,141.716034
-2.000000,1.000000,132.352081
-1.500000,1.000000,124.426613
-1.000000,1.000000,116.654846
-0.500000,1.000000,108.721703
0.000000,1.000000,101.928497
0.500000,1.000000,95.985947
1.000000,1.000000,90.651184
1.500000,1.000000,85.710701
