"$V$ (volts)" "$I$ (A)"
-1.00000000000000000000 -0.00404127407819032669
-0.99000000953674316400 -0.00405460502952337265
-0.98000001907348632800 -0.00405302317813038826
-0.97000002861022949200 -0.00405287276953458786
-0.95999997854232788100 -0.00405727606266736984
-0.94999998807907104500 -0.00406193407252430916
-0.93999999761581420900 -0.00404771417379379273
-0.93000000715255737300 -0.00405046995729207993
-0.92000001668930053700 -0.00404378585517406464
-0.91000002622604370100 -0.00402708398178219795
-0.89999997615814209000 -0.00403209216892719269
-0.88999998569488525400 -0.00403545983135700226
-0.87999999523162841800 -0.00403569312766194344
-0.87000000476837158200 -0.00403895601630210877
-0.86000001430511474600 -0.00404453696683049202
-0.85000002384185791000 -0.00404337001964449883
-0.83999997377395629900 -0.00403677299618721008
-0.82999998331069946300 -0.00404111994430422783
-0.81999999284744262700 -0.00403049588203430176
-0.81000000238418579100 -0.00401161797344684601
-0.80000001192092895500 -0.00401593511924147606
-0.79000002145767211900 -0.00402033887803554535
-0.77999997138977050800 -0.00401947693899273872
-0.76999998092651367200 -0.00402806978672742844
-0.75999999046325683600 -0.00402263877913355827
-0.75000000000000000000 -0.00402566418051719666
-0.74000000953674316400 -0.00402390398085117340
-0.73000001907348632800 -0.00402045296505093575
-0.72000002861022949200 -0.00401146011427044869
-0.70999997854232788100 -0.00399955688044428826
-0.69999998807907104500 -0.00399813521653413773
-0.68999999761581420900 -0.00400140322744846344
-0.68000000715255737300 -0.00401103589683771134
-0.67000001668930053700 -0.00401490088552236557
-0.66000002622604370100 -0.00402002409100532532
-0.64999997615814209000 -0.00402710679918527603
-0.63999998569488525400 -0.00401497213169932366
-0.62999999523162841800 -0.00401296513155102730
-0.62000000476837158200 -0.00401192903518676758
-0.61000001430511474600 -0.00399175006896257401
-0.60000002384185791000 -0.00399883696809411049
-0.58999997377395629900 -0.00401285616680979729
-0.57999998331069946300 -0.00400931481271982193
-0.56999999284744262700 -0.00401148805394768715
-0.56000000238418579100 -0.00401932187378406525
-0.55000001192092895500 -0.00402122503146529198
-0.54000002145767211900 -0.00401054415851831436
-0.52999997138977050800 -0.00401636399328708649
-0.51999998092651367200 -0.00401418702676892281
-0.50999999046325683600 -0.00399485509842634201
-0.50000000000000000000 -0.00400178181007504463
-0.49000000953674316400 -0.00400382513180375099
-0.47999998927116394000 -0.00400488218292593956
-0.46999999880790710400 -0.00401051808148622513
-0.46000000834465026800 -0.00400818977504968643
-0.44999998807907104500 -0.00401577493175864220
-0.43999999761581420900 -0.00401505222544074059
-0.43000000715255737300 -0.00400700094178318977
-0.41999998688697814900 -0.00399965187534689903
-0.40999999642372131300 -0.00399245088919997215
-0.40000000596046447700 -0.00398726901039481163
-0.38999998569488525400 -0.00398919498547911644
-0.37999999523162841800 -0.00399581808596849442
-0.37000000476837158200 -0.00398667482659220696
-0.36000001430511474600 -0.00398227898404002190
-0.34999999403953552200 -0.00399401318281888962
-0.34000000357627868600 -0.00397818721830844879
-0.33000001311302185100 -0.00397486286237835884
-0.31999999284744262700 -0.00397635204717516899
-0.31000000238418579100 -0.00395104102790355682
-0.30000001192092895500 -0.00394841795787215233
-0.28999999165534973100 -0.00396106485277414322
-0.28000000119209289500 -0.00395728414878249169
